id,y,pred,diff
1,-8.165592,-6.970487,1.1951051
2,-21.348686,-5.8416724,15.507013
3,-26.01343,-5.2241187,20.78931
4,-20.795984,-8.502546,12.293438
5,-21.365068,-15.363462,6.001606
6,-10.866996,-5.765165,5.101831
7,-17.97349,-2.1541572,15.819332
8,-21.344086,-5.6954017,15.648684
9,-36.634697,-6.224302,30.410395
10,13.215101,-8.486265,21.701366
11,-26.114847,-6.913175,19.201672
12,-2.9635978,-6.5538,3.5902023
13,39.961044,-7.544767,47.50581
14,-125.35318,-7.231931,118.12125
15,-2.048354,-3.8388038,1.7904499
16,12.016312,-11.281828,23.29814
17,-23.559896,-10.721647,12.838249
18,-50.04971,-7.190641,42.85907
19,-20.45513,-26.382414,5.9272842
20,32.706715,-9.697187,42.4039
21,48.58378,-7.9683814,56.55216
22,-3.9923704,-5.3995643,1.4071939
23,-20.359522,-9.690657,10.668865
24,-10.92512,-5.6022315,5.322889
25,234.53008,-9.015196,243.54527
26,-9.960091,-9.550932,0.4091587
27,-34.37255,-3.35391,31.01864
28,15.607453,-11.063993,26.671448
29,-32.721043,-7.3214393,25.399603
30,29.529924,-6.5669227,36.096848
31,-18.885323,-6.887357,11.997965
32,-14.946672,-10.335966,4.6107063
33,-10.036558,-12.046675,2.0101166
34,-30.574627,-10.553267,20.02136
35,-18.56267,-7.123899,11.43877
36,3.6089838,-5.8479285,9.456912
37,20.358843,-8.196074,28.554916
38,9.635946,7.0139337,2.6220126
39,-18.003565,-11.684294,6.319271
40,36.978497,-5.2603126,42.238808
41,-24.989597,-4.4912696,20.498327
42,-13.963778,-10.88336,3.0804176
43,-19.082142,11.428438,30.51058
44,-82.92951,-5.9899573,76.93955
45,24.437048,-13.535551,37.9726
46,26.83975,-9.086882,35.926632
47,20.046467,-6.773618,26.820086
48,29.495237,-11.6916485,41.186886
49,-26.395664,-4.221647,22.174017
50,-8.597435,-11.085539,2.4881039
51,1.7156549,-7.600126,9.315781
52,14.419261,-12.780699,27.199959
53,39.04646,-7.5260596,46.572517
54,-16.028292,-5.8471045,10.181187
55,-53.77835,-9.821135,43.957214
56,-7.275132,-3.7845435,3.4905887
57,5.975901,-6.587507,12.563408
58,-12.04099,-9.386717,2.654273
59,-11.5485525,-6.3665137,5.182039
60,-14.227212,1.3369163,15.564128
61,-1.2427846,-9.140257,7.8974724
62,9.579525,-7.722379,17.301905
63,-19.595535,-5.9387794,13.656755
64,11.007417,-0.9260536,11.933471
65,-45.968426,-6.279905,39.688522
66,43.229202,-11.278624,54.507828
67,-22.615639,-4.542173,18.073465
68,-0.24180304,-28.522211,28.280409
69,16.312593,-7.6413856,23.95398
70,4.0407286,-6.943113,10.983841
71,-9.211294,-10.325682,1.1143875
72,47.609505,-10.146757,57.756264
73,-22.968939,-5.8313117,17.137627
74,-42.60762,-10.72888,31.87874
75,58.230556,-8.074942,66.3055
76,-0.9644391,-11.389067,10.424627
77,-45.64864,-6.674558,38.974083
78,-26.91709,-9.109404,17.807686
79,16.773796,-10.553953,27.32775
80,-1.8577164,-4.197202,2.3394856
81,-43.379795,-3.2899756,40.08982
82,19.356035,-11.144133,30.500168
83,32.520565,-7.7654166,40.28598
84,0.38629943,-5.9781775,6.364477
85,-9.245273,-11.646696,2.4014235
86,-2553.4001,-5.500425,2547.8997
87,21.744217,-6.3274817,28.0717
88,-4.160463,-8.868528,4.7080655
89,54.99213,-11.528349,66.52048
90,27.10935,-8.066221,35.17557
91,13.822986,-6.277616,20.100601
